CD_ID,Borough,CD Number,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bronx 1,Bronx,1,77214.0,77391.39330419422,77605.86024026938,78292.87081268316,78735.10220951318,79140.12315584857,79505.86392041526,80019.93679274176,80667.60498620305,81434.0290875138,82159.0,83522.65388354537,84889.37021510907,85724.23776984069,86111.22316539925,86247.07355535198,86606.71922594073,87570.84890696955,88766.01806140572,90183.7475413028,91497.0,92740.2783706138,94276.97033231714,95570.82455517942,96772.48192182249,97976.51144641388,98863.58649150374,99060.34257409781,99104.35452037441
Bronx 2,Bronx,2,39443.0,40017.132147643555,40606.75058941001,41443.11582077177,42150.79998248807,42837.75171632327,43502.1945295131,44247.20484339325,45067.12353570702,45955.83786252598,46824.0,47611.233805802505,48400.314948046595,48886.19585702802,49116.58685100707,49203.583965591286,49418.10673916532,49977.49413907177,50668.77062270209,51487.16527381997,52246.0,52964.94634562976,53851.551215456464,54599.535123940164,55294.90287192343,55991.67210407595,56507.32503475048,56628.3425512482,56661.90234803639
Bronx 3,Bronx,3,57162.0,58065.28091641323,58990.496508659126,60274.09452535209,61370.66758089425,62436.9405427756,63470.23290872706,64620.99261884764,65881.29361467756,67242.49333128227,68574.0,70053.33329211618,71538.6809406095,72577.09135644075,73233.76855775923,73671.77582638487,74295.90948475938,75436.69870034537,76777.62308572457,78313.69137398175,79762.0,81151.60646492231,82800.91015718883,84239.96614690415,85599.64921680845,86962.9922323909,88045.58679972037,88511.00054775602,88835.16329572427
Bronx 4,Bronx,4,119962.0,121424.56994502917,122936.26458648773,125195.27223445366,127065.044785093,128872.77306709166,130613.4758963257,132596.40416586274,134803.25008774849,137214.56154297464,139563.0,140976.34241824015,142385.73252992707,142899.69430565965,142673.7758289298,142045.2390077215,141798.6204046815,142546.74409047223,143668.01425073738,145142.5059200317,146441.0,147621.41914096128,149261.08196065735,150508.25844417498,151605.22887612515,152701.7816649181,153302.81543458826,152839.7564942092,152153.66454641684
Bronx 5,Bronx,5,118435.0,118935.46889063779,119491.17290956843,120774.22088460796,121680.09351997578,122528.07632697711,123314.65493942329,124331.01832644932,125555.44509281666,126965.86693573723,128313.0,128965.42759144562,129607.66305722746,129432.39520177837,128591.88572377176,127398.39440562953,126557.2951839481,126607.76274867573,126987.45754719322,127674.10505748734,128200.0,128617.9035772394,129429.96528741674,129895.5216315609,130227.57078167655,130556.04989844162,130459.68001012004,129462.75812478302,128286.88250740503
Bronx 6,Bronx,6,68061.0,68542.8496927604,69055.05457621167,69987.3947468284,70701.52087713985,71381.68675704213,72025.58385103686,72803.45778574122,73703.57670998869,74713.84823994145,75688.0,76841.4688009251,77996.71696923689,78662.91854808028,78918.89659115781,78946.24904445875,79179.97037221867,79966.91308668177,80964.49946731809,82164.28979577681,83268.0,84307.33727685138,85612.5196557922,86696.26922725263,87695.81286427577,88697.03568310941,89411.14926434343,89501.66864379295,89455.62071969241
Bronx 7,Bronx,7,128588.0,129340.33555960667,130151.14951789514,131753.97587967358,132945.71938036563,134073.86515881584,135134.2867466014,136446.26419359545,137987.02167003008,139733.23331184904,141411.0,141928.9450394713,142433.61922471417,142039.12629522308,140916.14613503218,139409.49236287046,138291.59389901336,138149.12664252066,138365.19210635184,138914.01260545597,139286.0,139539.14824902042,140217.9667380987,140519.3669069549,140675.05851308088,140825.82544676278,140517.92522002023,139241.7152506571,137776.39627837282
Bronx 8,Bronx,8,97030.0,97062.49213027442,97142.93187299803,97815.0771501699,98181.05782492163,98500.95756144663,98772.45871402537,99228.4709069965,99849.73932649745,100617.03820120738,101332.0,101896.3149300225,102453.0783630493,102363.80305359376,101748.0320791559,100852.19916023884,100234.56357077585,100322.76459644847,100672.0144859116,101265.02254334408,101731.0,102111.65105168299,102805.7076355436,103225.03224362464,103538.57462605766,103849.53933811004,103822.65936668492,103078.6920411623,102191.42060592794
Bronx 9,Bronx,9,155970.0,156517.57840074803,157138.69335133085,158716.42991177345,159798.29457123613,160804.32031420182,161730.04484051157,162957.27279699745,164456.96777433614,166199.72903059266,167859.0,169173.5609378544,170479.46219191267,170711.8115645146,170063.2044675104,168940.58252734062,168278.06196469945,168798.2721294363,169759.04010413063,171134.04526714832,172298.0,173320.2773563437,174878.1928972931,175972.58910297987,176889.05967799295,177803.13038235484,178139.51729637527,177242.38533841865,176092.5462215257
Bronx 10,Bronx,10,108093.0,108434.19723544671,108826.63142576246,109881.61548747354,110593.23030451557,111252.42250543988,111856.15651346782,112668.46378631338,113669.07300119437,114837.4921145762,115948.0,116994.518657154,118036.45952530099,118335.61841436998,118023.04944781515,117379.37856493231,117053.25137991045,117549.01241826096,118352.04976933662,119445.02928987904,120392.0,121240.9864818095,122465.97086561384,123367.71072620667,124145.56638822042,124922.44633748509,125293.71607259812,124796.29103552544,124118.72243393026
