,Borough,Year,PC_Trash
0,Bronx,1992,0.38785809889752365
1,Brooklyn,1992,0.4128863890910404
2,Manhattan,1992,0.3486619889846678
3,Queens,1992,0.39026018622564634
4,Staten Island,1992,0.4508204467681332
5,Bronx,1993,0.34781724336685704
6,Brooklyn,1993,0.3851456138450635
7,Manhattan,1993,0.3244536251282618
8,Queens,1993,0.37549253217194456
9,Staten Island,1993,0.4394424399805241
10,Bronx,1994,0.3548462637605909
11,Brooklyn,1994,0.3745463940205608
12,Manhattan,1994,0.3337614503408348
13,Queens,1994,0.3633329297744301
14,Staten Island,1994,0.4533537762466217
15,Bronx,1995,0.34972917917881996
16,Brooklyn,1995,0.35469254038637604
17,Manhattan,1995,0.32794324799136737
18,Queens,1995,0.3554660353162064
19,Staten Island,1995,0.4360359564241916
20,Bronx,1996,0.34707950733019105
21,Brooklyn,1996,0.3639875118624709
22,Manhattan,1996,0.3380742228272302
23,Queens,1996,0.36562364047681195
24,Staten Island,1996,0.43812777024355104
25,Bronx,1997,0.32782787443250017
26,Brooklyn,1997,0.35066876806453245
27,Manhattan,1997,0.3292438990635235
28,Queens,1997,0.35088644557671095
29,Staten Island,1997,0.4261923998106884
30,Bronx,1998,0.3170592519514579
31,Brooklyn,1998,0.33400545186526837
32,Manhattan,1998,0.32492712146728997
33,Queens,1998,0.32656665191194223
34,Staten Island,1998,0.4267887163446996
35,Bronx,1999,0.310831125294776
36,Brooklyn,1999,0.32449734329010027
37,Manhattan,1999,0.3228723969365926
38,Queens,1999,0.3154617769805572
39,Staten Island,1999,0.4217921825496202
40,Bronx,2000,0.30814476433835
41,Brooklyn,2000,0.32362123215074523
42,Manhattan,2000,0.3165564351554281
43,Queens,2000,0.3084581189104266
44,Staten Island,2000,0.4134477211311648
45,Bronx,2001,0.31273116648614996
46,Brooklyn,2001,0.33419948941272765
47,Manhattan,2001,0.32073450333291254
48,Queens,2001,0.3213855795344304
49,Staten Island,2001,0.4186153673835125
50,Bronx,2002,0.33756267374441684
51,Brooklyn,2002,0.36060755121270144
52,Manhattan,2002,0.33892382437588886
53,Queens,2002,0.3540792087895558
54,Staten Island,2002,0.46912688191144464
55,Bronx,2003,0.3529826153352441
56,Brooklyn,2003,0.3882837080061727
57,Manhattan,2003,0.35440141083466853
58,Queens,2003,0.3845681222255705
59,Staten Island,2003,0.511948831353804
60,Bronx,2004,0.33581561044226305
61,Brooklyn,2004,0.36886630662440845
62,Manhattan,2004,0.33226351188784364
63,Queens,2004,0.36610350971315475
64,Staten Island,2004,0.48387915692309036
65,Bronx,2005,0.3291959352156406
66,Brooklyn,2005,0.356552827633193
67,Manhattan,2005,0.3226882811374802
68,Queens,2005,0.35424046128179326
69,Staten Island,2005,0.4641260593802557
70,Bronx,2006,0.3277577174344096
71,Brooklyn,2006,0.34967087912336386
72,Manhattan,2006,0.31549035714034973
73,Queens,2006,0.35134872723222005
74,Staten Island,2006,0.45723543539060685
75,Bronx,2007,0.32468417373079467
76,Brooklyn,2007,0.3402353901765529
77,Manhattan,2007,0.3080314974672475
78,Queens,2007,0.34020796846232787
79,Staten Island,2007,0.4344583330602222
80,Bronx,2008,0.33097200798024257
81,Brooklyn,2008,0.32757742715570615
82,Manhattan,2008,0.2929560695241129
83,Queens,2008,0.32847067965753557
84,Staten Island,2008,0.41548076839798725
85,Bronx,2009,0.3197154664466527
86,Brooklyn,2009,0.3232686329055907
87,Manhattan,2009,0.2824569773255526
88,Queens,2009,0.32351858222429075
89,Staten Island,2009,0.4031218360858715
90,Bronx,2010,0.31145385265557907
91,Brooklyn,2010,0.3138212790898699
92,Manhattan,2010,0.2751653527832457
93,Queens,2010,0.3123431239600165
94,Staten Island,2010,0.39396198030634577
95,Bronx,2011,0.3280854010535989
96,Brooklyn,2011,0.32616162010562855
97,Manhattan,2011,0.28297484439801546
98,Queens,2011,0.32515622975976316
99,Staten Island,2011,0.41184954287163117
100,Bronx,2012,0.3081255311607169
101,Brooklyn,2012,0.3176380269976329
102,Manhattan,2012,0.2715870385484603
103,Queens,2012,0.31431942392002554
104,Staten Island,2012,0.39559914712153516
105,Bronx,2013,0.29632452052820313
106,Brooklyn,2013,0.3118787039288164
107,Manhattan,2013,0.2676303961508571
108,Queens,2013,0.3105672398915724
109,Staten Island,2013,0.3894538286013224
110,Bronx,2014,0.28672555749752576
111,Brooklyn,2014,0.3088607151424005
112,Manhattan,2014,0.2643942640819629
113,Queens,2014,0.30768977650298623
114,Staten Island,2014,0.3824968697718813
115,Bronx,2015,0.2786748490389967
116,Brooklyn,2015,0.30679651825169435
117,Manhattan,2015,0.25841737456584507
118,Queens,2015,0.3043377648713643
119,Staten Island,2015,0.37375387059368215
120,Bronx,2016,0.2835299655218685
121,Brooklyn,2016,0.30752554637799234
122,Manhattan,2016,0.25781950291373534
123,Queens,2016,0.30186109624761986
124,Staten Island,2016,0.37262207832058314
125,Bronx,2017,0.2862315381297555
126,Brooklyn,2017,0.31053797181326426
127,Manhattan,2017,0.25974790372977896
128,Queens,2017,0.3000192765644299
129,Staten Island,2017,0.3768676056575821
130,Bronx,2018,0.28788306141822445
131,Brooklyn,2018,0.31645299601266236
132,Manhattan,2018,0.261428683626451
133,Queens,2018,0.3051585214408925
134,Staten Island,2018,0.38349473027567793
